aja,saja
bgt,sangat
gmn,bagaimana
kalo,kalau
lg,lagi
blm,belum
udh,sudah
sm,sama
gtu,begitu
bs,bisa
ga,tidak
nggak,tidak
ntah,tidak tahu
dr,dari
km,kamu
aq,aku
sy,saya
bkn,bukan
tp,tapi
jd,jadi
cm,hanya
smpe,sampai
ama,sama
krn,karena
bgs,bagus
skrg,sekarang
lgsg,langsung
bnyk,banyak
kl,kalau
skali,sekali
spt,seperti
msh,masih
dh,dah
gt,gitu
brp,berapa
kpn,kapan
mn,mana
smua,semua
yg,yang
dl,dulu
sdh,sudah
blg,bilang
bbrp,beberapa
ksh,kasih
lgkp,lengkap
trnyta,ternyata
bgtu,begitu
sprti,seperti
dgn,dengan
drpd,dari
kt,kita
smg,semoga
trima,terima
jgn,jangan
bls,balas
slalu,selalu
pny,punya
tdk,tidak
hrs,harus
sblm,belum
stlh,sudah
bsk,besok
cmn,hanya
mksd,maksud
tw,tau
bener,benar
nnti,nanti
klo,kalau
ngapain,sedang apa
gpp,tidak apa
liat,lihat
gak,tidak
syok,kaget
knp,kenapa
gw,saya
kmrn,kemarin
kemaren,kemarin
kek,seperti
keknya,seperti
kayak,seperti
doang,saja
bray,kawan
jabar,jawa barat
judol,judi online
kdm,kang dedi mulyadi
gwe,saya
gk,tidak
dg,dengan
ngegossip,berita
nggosip,gosip
ngeh,tahu
ngehipnotis,hipnotis
mengingatkan,ingat
mengirimkan,kirim
mengirim,kirim
menganjurkan,anjur
menyampaikan,sampai
menyebarkan,sebar
menyebar,sebar
menyadari,sadar
menyadarkan,sadar
menghimbau,imbau
menghimbaukan,imbau
menghasilkan,hasil
menghentikan,henti
memberikan,beri
membagikan,bagi
membelikan,beli
membelit,belit
membenarkan,benar
menyelamatkan,selamat
menggaet,gaet
menggandeng,gandeng
menyelesaikan,selesai
menyemangati,semangat
mengondisikan,kondisi
mengontrol,kontrol
mengobati,obati
mengoreksi,koreksi
membongkar,bongkar
menuntut,tuntut
menyentuh,sentuh
menyentuhnya,sentuh
menuntaskan,tuntas
gblk,goblok
ngonten,konten
ngomongin,bicara
ngomong,bicara
ngaruh,pengaruh
ngakak,ketawa
ngasih,beri
ngejar,kejar
ngebucin,romantis
nampak,tampak
menyentil,sentuh
menjulukinya,juluk
mengiriman,kirim
mendatangkan,datang
menyebarluaskan,sebar
menyambi,sembari
menyambut,sambut
blio,beliau
ngeliat,lihat
ngeliatnya,lihat
ngeliatin,lihat
ngedate,kencan
ngantukkan,kantuk
ngantuk,kantuk
ngurus,urus
ngurusin,urus
naksir,suka
ngelatin,lihat
menanggung,tanggung
menyaksikan,lihat
mengurus,urus
mendewakan,tinggi
ngumpulin,kumpul
ngamanin,aman
ngisep,hisap
ngadu,adu
mengisahkan,cerita
menyantuni,santun
mengusulkan,saran
mendatangi,datang
mengaduin,adu
mengurusi,urus
ngambek,marah
ngacak,acak
ngehype,hype
ngerekom,rekomendasi
menggambarkan,deskripsi
ngereview,review
menyukai,suka
menakutnakuti,takut
menggelar,gelar
mengatasinya,atasi
harkatmartabat,harkat martabat
menyemarakkan,semarak
narasinarasi,narasi
updatewali,update wali
gaje,tidak jelas
hammenteri,menteri
deddy,dedi
kocam,jenaka
kocak,jenaka
sebenernya,benar
miinoomm,minum
mingi,minggu
netijing,netizen
pesantrenin,pesantren
orangorang,warga
altim,ultimate
sosmed,sosial media
sosialmedia,sosial media
salfok,salah fokus
manteman,teman
kacrut,kacau
tainya,tai
wowo,prabowo
wiwi,jokowi
nyebutnya,sebut
yutuber,youtuber
guyssstarring,guys starring
sksd,berusaha dekat
hardnewssosial,berita sosial
cariberitaditvone,berita di tvone
penjarakan,penjara
kirakira,kira
reuniannya,reuni
eps,episode
gamon,gagal
gacor,bagus
bgtt,sangat
baper,bawa rasa
salbrut,canggung
dinotis,tahu
ingusan,ingus
fotbar,foto
indung,ibu
sok,silakan
jongjon,jujur
didamel,buat
keur,untuk
rahyat,rakyat
buzzerbuzzer,buzzer
nyari,cari
followingnya,pengikut
nobat,juara
nobar,tonton
sperti,seperti
mbg,makan gizi gratis
sumpah,serius
niktokin,takut
ngebully,bully
nyenggolin,senggol
segalagalanya,semua
duar,ledakan
nmaxxx,motor
wkwkwk,tertawa
wkwk,tertawa
satset,cepat
omon,bicara
doank,saja
penjurian,nilai
th,tahun
nenikmati,nikmat
jkw,jokowi
bodohin,bodoh
geriknya,gerik
indo,indonesia
dibantu,bantu
videografer,video
terkadang,kadang
kontroversial,kontroversi
dikirimkan,kirim
iketan,ikat
lsd,narkoba
timnya,team
selengkap,lengkap
youtubenya,youtube
dimonetize,monetize
nonton,lihat
dapet,dapat
duitnya,uang
sebanyak,banyak
membela,bela
no,nomor
belit,kena
ml,game
ketagihan,candu
dibahas,bahas
alasannya,alasan
hehe,tertawa
dikirim,kirim